#Top: test   Floorplan: elab_constrs_1   Part: xc3s50antqg144-4
#Generated by: cse   on: Fri Jun 12 17:51:27 2015
#Build: PlanAhead v14.4   by: xbuild   on: Tue Dec 18 05:21:09 MST 2012

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 16 unassigned signals in this design. The last 16 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
0,P110,PAD40,IO_L01P_0,,,,,,,,,,,,,
0,P111,PAD39,IO_L01N_0,,,,,,,,,,,,,
0,P112,PAD37,IO_L02P_0/VREF_0,,,,,,,,,,,,,
0,P113,PAD36,IO_L02N_0,,,,,,,,,,,,,
0,P115,PAD35,IO_L03P_0,,,,,,,,,,,,,
0,P117,PAD34,IO_L03N_0,,,,,,,,,,,,,
0,P114,PAD32,IO_L04P_0,,,,,,,,,,,,,
0,P116,PAD31,IO_L04N_0,,,,,,,,,,,,,
0,P119,,VCCO_0,,,,,,,,,,,,,
0,P120,PAD27,IO_L05P_0,,,,,,,,,,,,,
0,P121,PAD26,IO_L05N_0,,,,,,,,,,,,,
0,P124,PAD25,IO_L06P_0/GCLK4,,,,,,,,,,,,,
0,P126,PAD24,IO_L06N_0/GCLK5,,,,,,,,,,,,,
0,P123,IPAD23,IP_0/VREF_0,,,,,,,,,,,,,
0,P125,PAD22,IO_L07P_0/GCLK6,,,,,,,,,,,,,
0,P127,PAD21,IO_L07N_0/GCLK7,,,,,,,,,,,,,
0,P129,PAD20,IO_L08P_0/GCLK8,,,,,,,,,,,,,
0,P131,PAD19,IO_L08N_0/GCLK9,,,,,,,,,,,,,
0,P130,PAD17,IO_L09P_0/GCLK10,,,,,,,,,,,,,
0,P132,PAD16,IO_L09N_0/GCLK11,,,,,,,,,,,,,
0,P134,PAD12,IO_L10P_0,,,,,,,,,,,,,
0,P135,PAD11,IO_L10N_0,,,,,,,,,,,,,
0,P136,,VCCO_0,,,,,,,,,,,,,
0,P138,PAD10,IO_L11P_0,,,,,,,,,,,,,
0,P139,PAD9,IO_L11N_0,,,,,,,,,,,,,
0,P142,PAD4,IO_0,,,,,,,,,,,,,
0,P140,IPAD3,IP_0,,,,,,,,,,,,,
0,P141,PAD2,IO_L12P_0/VREF_0,,,,,,,,,,,,,
0,P143,PAD1,IO_L12N_0/PUDC_B,,,,,,,,,,,,,
1,P76,PAD72,IO_L01P_1/HDC,,,,,,,,,,,,,
1,P78,PAD71,IO_L01N_1/LDC2,,,,,,,,,,,,,
1,P75,PAD70,IO_L02P_1/LDC1,,,,,,,,,,,,,
1,P77,PAD69,IO_L02N_1/LDC0,,,,,,,,,,,,,
1,P79,PAD68,IO_1,,,,,,,,,,,,,
1,P80,IPAD65,IP_1/VREF_1,,,,,,,,,,,,,
1,P82,PAD64,IO_L03P_1,,,,,,,,,,,,,
1,P84,PAD63,IO_L03N_1,,,,,,,,,,,,,
1,P83,PAD62,IO_L04P_1/RHCLK0,,,,,,,,,,,,,
1,P85,PAD61,IO_L04N_1/RHCLK1,,,,,,,,,,,,,
1,P86,,VCCO_1,,,,,,,,,,,,,
1,P87,PAD60,IO_L05P_1/RHCLK2,,,,,,,,,,,,,
1,P88,PAD59,IO_L05N_1/TRDY1/RHCLK3,,,,,,,,,,,,,
1,P90,PAD56,IO_L06P_1/RHCLK4,,,,,,,,,,,,,
1,P92,PAD55,IO_L06N_1/RHCLK5,,,,,,,,,,,,,
1,P91,PAD54,IO_L07P_1/IRDY1/RHCLK6,,,,,,,,,,,,,
1,P93,PAD53,IO_L07N_1/RHCLK7,,,,,,,,,,,,,
1,P95,,VCCO_1,,,,,,,,,,,,,
1,P96,PAD52,IO_L08P_1,,,,,,,,,,,,,
1,P98,PAD51,IO_L08N_1,,,,,,,,,,,,,
1,P97,IPAD50,IP_1/VREF_1,,,,,,,,,,,,,
1,P99,PAD48,IO_L09P_1,,,,,,,,,,,,,
1,P101,PAD47,IO_L09N_1,,,,,,,,,,,,,
1,P102,PAD46,IO_L10P_1,,,,,,,,,,,,,
1,P104,PAD45,IO_L10N_1,,,,,,,,,,,,,
1,P103,PAD44,IO_L11P_1,,,,,,,,,,,,,
1,P105,PAD43,IO_L11N_1,,,,,,,,,,,,,
2,P37,PAD112,IO_L01P_2/M1,,,,,,,,,,,,,
2,P38,PAD111,IO_L01N_2/M0,,,,,,,,,,,,,
2,P39,PAD109,IO_L02P_2/M2,,,,,,,,,,,,,
2,P41,PAD108,IO_L02N_2/CSO_B,,,,,,,,,,,,,
2,P40,,VCCO_2,,,,,,,,,,,,,
2,P42,PAD107,IO_L03P_2/RDWR_B,,,,,,,,,,,,,
2,P43,PAD104,IO_L04P_2/VS2,,,,,,,,,,,,,
2,P44,PAD106,IO_L03N_2/VS1,,,,,,,,,,,,,
2,P45,PAD103,IO_L04N_2/VS0,,,,,,,,,,,,,
2,P46,PAD102,IO_L05P_2,,,,,,,,,,,,,
2,P47,PAD99,IO_L06P_2,,,,,,,,,,,,,
2,P48,PAD101,IO_L05N_2/D7,,,,,,,,,,,,,
2,P49,PAD98,IO_L06N_2/D6,,,,,,,,,,,,,
2,P50,PAD95,IO_L07P_2/D5,,,,,,,,,,,,,
2,P51,PAD97,IO_L07N_2/D4,,,,,,,,,,,,,
2,P53,IPAD94,IP_2/VREF_2,,,,,,,,,,,,,
2,P54,PAD96,IO_L08P_2/GCLK14,,,,,,,,,,,,,
2,P55,PAD93,IO_L08N_2/GCLK15,,,,,,,,,,,,,
2,P57,PAD92,IO_L09P_2/GCLK0,,,,,,,,,,,,,
2,P59,PAD91,IO_L09N_2/GCLK1,,,,,,,,,,,,,
2,P58,PAD89,IO_L10P_2/GCLK2,,,,,,,,,,,,,
2,P60,PAD88,IO_L10N_2/GCLK3,,,,,,,,,,,,,
2,P61,,VCCO_2,,,,,,,,,,,,,
2,P62,PAD87,IO_2/MOSI/CSI_B,,,,,,,,,,,,,
2,P63,PAD84,IO_L11P_2/AWAKE,,,,,,,,,,,,,
2,P64,PAD83,IO_L11N_2/DOUT,,,,,,,,,,,,,
2,P67,PAD82,IO_L12P_2/INIT_B,,,,,,,,,,,,,
2,P68,PAD81,IO_L12N_2/D3,,,,,,,,,,,,,
2,P69,PAD77,IO_L13P_2/D2,,,,,,,,,,,,,
